order_id,customer_id,restaurant_name,city,order_amount,delivery_time,rating,payment_method,order_date,delivery_partner_age,distance_km
24,3391, Food Express,Chennai,537.73,125,2.9,CASH ,2024-01-31,22,33.61
25,2515,Cafe Delight, Bangalore,511.15,40,2.1,CARD  ,2024-04-17,39,19.86
26,4485,Biryani House, Kolkata,814.27,145,3.8,CASH,2024-04-16,36,58.26
27,3853,CAFE DELIGHT,Bangalore,1148.58,133,4.6,UPI,2024-02-13,24,25.5
28,3433,Food Express ,pune,784.38,59,3.8, Cash,2024-02-22,34,2.43
29,2215,Pizza Point , Delhi,386.72,44,5.0,Card,2024-06-04,35,19.9
30,1955,Burger Town,KOLKATA,376.65,55,1.1,CARD,2024-06-14,43,18.76
31,3324,spice hub,Mumbai ,717.17,121,2.2,CARD ,2024-02-28,47,0.34
32,2184,Pizza Point,Bangalore,79.16,123,1.9,upi,2024-04-01,49,29.27
33,1459,Burger Town,Kolkata ,421.2,58,1.2, Card,2024-02-16,31,54.35
34,4385,BIRYANI HOUSE,bangalore,440.46,89,2.7,upi,2024-04-17,53,48.14
35,1021,BIRYANI HOUSE,Delhi,646.03,78,5.7,card ,2024-01-01,32,41.08
36,3300,BURGER TOWN, Mumbai,653.47,87,3.2,CASH,2024-01-22,26,20.61
37,1747,pizza point, Mumbai,313.86,87,1.7,cash  ,2024-04-28,19,13.92
38,3904,FOOD EXPRESS,Kolkata,396.41,83,2.1,UPI,2024-06-10,55,20.56
39,4632,Food Express,CHENNAI,611.28,10,3.7,card,2024-04-24,60,7.38
40,1474,cafe delight, Kolkata,300.27,13,2.1,Cash,2024-02-14,55,5.97
41,2082,cafe delight,Mumbai ,801.53,140,3.2,CARD  ,2024-04-16,57,34.47
42,3558, Burger Town, Pune,652.29,117,1.6,cash,2024-03-28,33,48.84
43,4753,BIRYANI HOUSE,KOLKATA,542.88,83,2.1, Card,2024-03-26,64,5.96
44,3047,Food Express ,Hyderabad,597.74,89,4.2,card,2024-05-09,63,20.11
45,4547,BURGER TOWN,BANGALORE,383.28,44,3.5, CARD ,2024-01-18,21,7.37
46,3747,spice hub, Pune,343.43,39,0.6, upi,2024-02-22,61,18.63
47,1975,SPICE HUB,DELHI,393.82,94,5.8,UPI,2024-02-02,47,49.82
48,2806,BIRYANI HOUSE,BANGALORE,624.99,87,0.3,UPI,2024-04-21,20,2.09
49,1189,spice hub,Chennai,550.25,61,0.5,CARD ,2024-01-26,30,38.83
50,4005,CAFE DELIGHT,pune,394.32,39,4.2, Card,2024-02-18,60,3.59
51,3734, Burger Town,Kolkata,687.4,23,4.2, Cash,2024-03-26,31,25.59
52,4005, Biryani House,Bangalore,456.51,132,0.1,cash  ,2024-06-16,63,28.44
53,1562,BURGER TOWN,HYDERABAD,326.67,85,3.9,cash ,2024-03-07,32,24.09
54,2899,burger town,Delhi,563.59,145,0.2,CARD ,2024-02-04,52,38.24
55,4638,Food Express ,CHENNAI,246.74,3,5.8,cash  ,2024-04-25,58,58.42
56,2267,CAFE DELIGHT, Bangalore,78.19,109,4.2, CARD ,2024-01-02,30,16.04
57,3879,Food Express ,Bangalore,498.72,30,1.1, UPI,2024-01-22,50,36.59
58,2528,Biryani House ,Chennai,335.65,52,0.9,Card ,2024-06-20,23,21.3
59,4202,BIRYANI HOUSE, Chennai,436.46,37,3.4,cash,2024-05-21,50,59.97
60,4556,burger town,chennai,258.32,139,3.8,Cash ,2024-02-02,51,57.06
61,4890, Cafe Delight,CHENNAI,802.23,134,5.0,cash  ,2024-02-24,42,5.6
62,1646,Spice Hub,Hyderabad ,334.63,43,5.4,CARD ,2024-02-21,29,58.42
63,3068,spice hub,HYDERABAD,392.0,69,2.4,CASH ,2024-06-14,38,44.3
64,3888,food express,pune,594.47,50,5.1, Cash,2024-02-03,35,59.54
65,3214, Food Express, Delhi,155.85,88,3.3,CASH,2024-06-13,21,46.26
66,2297,Cafe Delight,Pune,137.36,60,2.8,cash ,2024-06-09,39,7.74
67,3435, Biryani House,pune,595.24,41,4.2,Card ,2024-01-15,38,45.03
68,1600, Cafe Delight,DELHI,388.76,27,0.6,Cash,2024-01-14,51,43.6
69,3363,CAFE DELIGHT, Mumbai,274.63,62,1.6,cash,2024-02-12,27,10.0
70,3061,Cafe Delight,Mumbai,650.84,119,4.9,Card,2024-03-24,17,45.19
71,1241,Food Express,Delhi ,297.02,88,3.0,upi,2024-06-24,42,40.49
72,3041,Food Express , Pune,431.37,116,5.4, Cash,2024-02-27,47,59.67
73,3824,PIZZA POINT,delhi,275.97,86,0.5,Cash,2024-01-12,44,37.12
74,4417,SPICE HUB,Kolkata,575.86,126,1.9,Card,2024-03-11,61,24.88
75,3612,biryani house,MUMBAI,833.02,113,2.1, UPI,2024-04-12,55,57.23
76,3945,Biryani House,delhi,34.74,44,2.5,UPI ,2024-04-30,55,37.67
77,2363,FOOD EXPRESS,chennai,528.16,54,5.9,upi ,2024-03-20,59,20.92
78,3139,cafe delight, Pune,714.15,50,1.9,cash  ,2024-01-05,48,1.26
79,2390,Cafe Delight, Chennai,394.63,34,3.1,upi,2024-04-26,44,45.4
80,4003,FOOD EXPRESS,Hyderabad ,217.24,133,3.2,cash,2024-01-25,48,7.17
81,2478,Food Express , Chennai,605.24,120,4.6,Cash ,2024-05-19,51,55.42
82,4499,cafe delight,Hyderabad,750.41,25,3.1,cash ,2024-04-05,32,57.68
83,3556,BURGER TOWN,Chennai ,722.63,137,3.6,Card ,2024-02-26,25,14.19
84,1775,Burger Town ,hyderabad,591.48,129,4.5,UPI,2024-02-29,16,6.77
85,1034,Cafe Delight,delhi,524.48,39,0.6,UPI,2024-01-29,58,35.72
86,3253,CAFE DELIGHT, Hyderabad,275.25,9,5.8, Cash,2024-01-20,32,12.82
87,4152,Biryani House,hyderabad,716.31,79,5.1, upi,2024-03-28,57,32.51
88,2955,SPICE HUB,Delhi ,702.49,84,2.3,cash  ,2024-04-13,43,24.85
89,2585,pizza point,pune,215.49,97,4.4, upi,2024-03-16,53,47.52
90,4943,spice hub, Mumbai,591.12,24,4.6,UPI,2024-06-27,51,59.99
91,4459,Cafe Delight, Kolkata,663.21,80,5.1,UPI,2024-05-09,60,27.41
92,4073, Spice Hub,Kolkata,720.53,84,1.1,Cash,2024-02-26,42,41.1
93,2021,Spice Hub ,HYDERABAD,481.25,147,4.2,Card,2024-03-23,58,20.51
94,4461,burger town,Kolkata ,285.61,21,0.2,CARD,2024-04-16,52,51.75
95,3613, Food Express,Chennai ,374.47,97,0.7,UPI,2024-02-15,61,2.22
96,2129,cafe delight, Chennai,248.19,41,4.7,cash ,2024-05-22,40,29.61
97,4843,Pizza Point ,Kolkata ,487.23,119,4.9, CARD ,2024-04-27,49,10.61
98,4893, Cafe Delight,HYDERABAD,438.28,38,3.6, UPI,2024-03-27,18,10.61
99,2500,Burger Town ,mumbai,1036.26,17,3.5,upi,2024-02-19,44,31.98
100,1702,food express,Kolkata ,723.67,62,4.5,CARD  ,2024-06-24,50,18.47
101,3449,FOOD EXPRESS,KOLKATA,742.39,146,5.4,cash ,2024-01-28,58,27.54
102,3777,BIRYANI HOUSE,Mumbai,617.84,91,2.5,CARD ,2024-05-10,56,18.34
103,2579,Biryani House ,Chennai,408.17,18,0.7,UPI,2024-03-07,25,27.3
104,1161,Biryani House, Kolkata,431.15,100,5.0,UPI ,2024-05-18,53,17.16
105,1201,burger town,BANGALORE,454.03,106,2.0,CARD ,2024-03-01,53,48.21
106,2981,SPICE HUB,Mumbai,547.06,46,0.8,CARD  ,2024-03-01,16,33.47
107,1995,Spice Hub ,Chennai ,597.29,53,3.7,CARD  ,2024-04-06,16,9.69
108,3317,cafe delight,KOLKATA,500.18,20,3.5, Card,2024-03-14,47,0.51
109,4934,cafe delight,mumbai,427.35,7,2.8, Card,2024-05-24,37,1.05
110,1815,Spice Hub,delhi,351.47,8,5.2, CARD ,2024-02-08,34,25.3
111,4342,Food Express,delhi,151.84,78,1.6, UPI,2024-01-29,50,18.85
112,1455,Burger Town,Delhi ,820.84,117,0.1,CARD  ,2024-03-29,21,15.73
113,4533,SPICE HUB,DELHI,1051.38,14,1.9,upi,2024-02-08,49,37.38
114,4798,Spice Hub ,Pune,799.83,14,0.1,upi,2024-06-29,30,48.79
115,2275,BURGER TOWN,PUNE,185.23,75,3.3,CASH,2024-05-30,59,3.8
116,2016, Food Express, Hyderabad,696.75,108,2.3, Card,2024-04-16,57,6.6
117,4773,Burger Town ,BANGALORE,755.94,51,4.9,cash  ,2024-03-05,60,22.12
118,3343,Burger Town , Chennai,399.14,6,4.8,cash  ,2024-04-03,18,26.49
119,4796, Cafe Delight,PUNE,622.23,5,2.6,CARD  ,2024-05-13,52,23.71
120,3767, Burger Town,Hyderabad,385.92,146,1.3, UPI,2024-04-29,37,38.32
121,4820,biryani house,Kolkata,882.23,16,2.5, cash ,2024-01-17,60,5.23
122,1337,Spice Hub,delhi,591.34,66,3.8, Cash,2024-04-06,44,29.68
123,1878, Food Express,Hyderabad ,270.71,122,1.1,Card,2024-04-08,29,48.7
124,2076, Pizza Point, Hyderabad,667.45,70,4.6,CASH,2024-02-19,45,55.71
125,1791, Biryani House,BANGALORE,764.7,61,2.0,upi,2024-06-15,30,33.62
126,4993,Food Express, Chennai,549.53,132,5.6,UPI,2024-06-05,44,8.31
127,3264,Food Express, Hyderabad,619.86,121,3.1,CARD  ,2024-02-23,29,43.65
128,1763, Spice Hub,Bangalore ,482.56,12,5.1,CASH,2024-01-13,18,47.78
129,3235,FOOD EXPRESS,Hyderabad ,216.43,77,3.7,CASH,2024-02-23,37,11.78
130,1379,spice hub,HYDERABAD,462.07,92,3.3,UPI ,2024-02-03,48,40.65
131,1492,burger town, Delhi,630.76,103,4.1,cash,2024-02-11,38,55.83
132,4112, Cafe Delight,pune,467.99,134,4.9, Card,2024-01-25,22,43.13
133,2180, Burger Town,HYDERABAD,700.19,30,3.9,CARD ,2024-04-21,35,24.93
134,3062,BURGER TOWN,Hyderabad,401.95,132,4.8,UPI ,2024-05-21,22,26.57
135,4884,biryani house,BANGALORE,418.35,68,1.1,Card ,2024-05-11,32,4.77
136,1064, Spice Hub,Delhi,707.78,146,1.7, CARD ,2024-01-12,47,31.57
137,4928,Cafe Delight,hyderabad,555.46,126,1.4, upi,2024-04-29,30,48.16
138,4910,Spice Hub ,BANGALORE,397.07,59,4.8,cash ,2024-01-01,28,58.71
139,3568,Spice Hub,kolkata,758.45,23,0.5, upi,2024-01-25,62,23.96
140,2367,burger town,hyderabad,327.82,105,4.8,UPI,2024-05-11,18,26.12
141,2152, Biryani House,Delhi ,318.26,60,2.3, Card,2024-02-09,40,3.29
142,3027,biryani house, Kolkata,-207.36,39,0.5,cash ,2024-01-22,64,46.51
143,3695,Biryani House,Bangalore ,361.51,145,2.5,CASH ,2024-06-28,47,43.0
144,2495, Burger Town,Hyderabad ,827.18,134,1.8,cash,2024-03-26,31,24.18
145,4134, Spice Hub, Mumbai,-18.07,49,3.6,Cash,2024-03-27,16,42.56
146,2162, Pizza Point,Hyderabad,262.02,105,2.8,Cash ,2024-05-05,61,37.38
147,2522, Pizza Point,Delhi ,609.77,74,1.8,card,2024-03-08,18,46.14
148,3640,Food Express ,KOLKATA,-61.22,91,5.2,cash ,2024-06-21,35,18.85
149,1391, Food Express,Mumbai ,372.33,60,2.4,card ,2024-01-23,43,39.05
150,2698,burger town, Kolkata,785.22,107,2.8,CASH ,2024-02-04,37,37.54
151,1418,pizza point,MUMBAI,1010.76,71,5.1,CARD ,2024-04-04,51,5.43
152,3336,Spice Hub ,Mumbai,572.56,48,0.5,Cash ,2024-01-26,56,16.86
153,1378,Food Express ,KOLKATA,268.38,27,2.3,cash,2024-02-15,16,51.61
154,2796,SPICE HUB, Chennai,259.97,123,2.4,CARD,2024-01-27,29,9.37
155,4561,Spice Hub,Kolkata,536.23,37,3.0,UPI,2024-05-19,60,22.77
156,3278, Cafe Delight,MUMBAI,570.24,17,0.6,Cash ,2024-05-19,30,13.51
157,4065,Cafe Delight ,Bangalore,964.48,108,0.6,Card ,2024-02-18,47,8.41
158,3088,Burger Town,Mumbai ,742.7,130,2.5,card ,2024-06-26,33,8.18
159,4099,Cafe Delight, Mumbai,521.03,76,0.2, Card,2024-02-19,63,20.88
160,3182,Burger Town,hyderabad,416.2,90,1.5,card,2024-03-15,53,48.21
161,1200,Cafe Delight,HYDERABAD,1253.68,31,1.2,card,2024-01-04,37,57.98
162,2863,food express,Mumbai,656.65,40,2.9,card,2024-06-15,31,34.31
163,1779,Biryani House,PUNE,332.81,26,0.1, cash ,2024-01-20,26,38.11
164,3977,cafe delight,CHENNAI,443.84,21,4.1,CARD  ,2024-04-30,22,46.72
165,4104,Cafe Delight ,Chennai ,280.64,51,5.1,Card,2024-05-27,24,39.71
166,4119,Spice Hub ,Pune ,-101.14,46,4.2, cash ,2024-01-19,16,50.9
167,1502, Spice Hub,Pune ,578.16,37,4.9,CARD ,2024-05-31,57,53.04
168,3454,Food Express ,PUNE,945.61,144,3.9, Card,2024-03-18,23,37.66
169,4645,Cafe Delight , Chennai,92.36,58,3.0, UPI,2024-03-09,26,31.98
170,2751,PIZZA POINT,BANGALORE,513.82,136,1.3,Card ,2024-06-27,20,23.46
171,1804,BURGER TOWN, Hyderabad,323.27,34,1.7,CARD ,2024-03-28,44,27.69
172,3146,BURGER TOWN,MUMBAI,630.38,28,1.9,card ,2024-06-10,21,20.73
173,3731,biryani house,BANGALORE,456.92,145,0.2,Card,2024-04-03,27,25.62
174,2895,FOOD EXPRESS,PUNE,159.99,58,5.5,upi,2024-05-01,58,53.98
175,3773,BIRYANI HOUSE,kolkata,254.72,39,5.4,Card ,2024-04-21,54,58.34
176,2570,Spice Hub,BANGALORE,292.42,127,0.6, Card,2024-04-09,22,21.69
177,1960,Biryani House ,Pune,836.08,55,3.3,cash  ,2024-05-28,59,13.24
178,4810,Cafe Delight,PUNE,823.31,103,2.8,CARD ,2024-04-06,27,4.69
179,3660,Spice Hub ,Chennai,422.16,80,4.1, Cash,2024-02-08,48,50.22
180,2485,Burger Town ,Hyderabad ,806.95,38,3.6,card,2024-03-29,34,52.24
181,3690,pizza point,Chennai ,456.7,103,0.7, UPI,2024-02-21,51,27.03
182,4840,Pizza Point,Mumbai ,418.33,13,4.0,upi,2024-04-15,34,32.55
183,2028,BURGER TOWN,MUMBAI,514.28,29,3.7,UPI,2024-04-25,36,44.39
184,4289,pizza point,Bangalore ,571.21,4,3.2, upi,2024-01-27,34,22.55
185,1502,Biryani House ,HYDERABAD,361.14,24,2.4,card,2024-01-27,58,12.09
186,3814,FOOD EXPRESS,Mumbai ,505.47,68,5.7,UPI ,2024-05-04,24,6.88
187,1397,Cafe Delight , Bangalore,696.83,114,5.1, cash ,2024-02-01,60,14.11
188,1870,Spice Hub ,Bangalore,532.38,19,3.5,Card ,2024-02-04,37,38.72
189,3842,Pizza Point,Chennai ,510.7,134,0.0,upi ,2024-01-12,34,20.86
190,1392,BURGER TOWN,mumbai,623.55,16,2.6,cash,2024-02-28,52,52.06
191,1206,Spice Hub,Mumbai,666.68,9,4.2,cash,2024-03-19,26,5.25
192,2038,Food Express ,CHENNAI,484.35,81,0.7,CARD  ,2024-04-03,40,24.98
193,2881,BURGER TOWN, Chennai,381.45,146,2.4,CARD,2024-06-25,50,15.42
194,4625,Pizza Point ,Mumbai ,547.3,106,1.2, Cash,2024-05-02,20,53.26
195,3939,BURGER TOWN, Kolkata,101.51,149,2.0,Cash,2024-06-26,60,48.37
196,2484,BURGER TOWN,kolkata,447.42,3,0.2,UPI,2024-03-09,46,59.06
197,4762, Cafe Delight,Chennai ,-117.89,33,0.8,CASH,2024-02-01,29,7.16
198,4646,Pizza Point,Kolkata ,81.05,130,2.7,upi,2024-06-10,28,46.93
199,1863, Spice Hub,CHENNAI,43.45,134,5.4,UPI,2024-04-23,49,7.55
200,3790,Pizza Point,delhi,761.84,93,2.9, UPI,2024-03-28,49,9.3
201,4312,SPICE HUB,Mumbai,503.5,60,2.7,UPI,2024-04-07,33,2.35
202,1563,BURGER TOWN,Delhi ,184.49,58,4.7,CASH ,2024-03-29,21,27.88
203,2020, Burger Town,hyderabad,622.77,45,1.6,UPI ,2024-06-07,57,7.55
204,1095, Cafe Delight,delhi,747.16,76,0.6,Card,2024-02-14,36,20.9
205,2923,Cafe Delight, Delhi,627.12,51,1.3,card ,2024-02-23,55,16.57
206,2757,Spice Hub,Pune,452.82,114,4.7,CARD  ,2024-01-02,20,58.58
207,3532,food express,HYDERABAD,558.12,110,4.1, cash ,2024-01-13,17,39.5
208,4478,Cafe Delight,Bangalore ,725.37,62,0.5,card ,2024-02-03,21,24.63
209,3278,Pizza Point ,bangalore,382.69,96,4.0,card,2024-02-17,23,52.71
210,3796,cafe delight, Bangalore,507.47,146,5.6,UPI,2024-03-15,17,3.83
211,2678,biryani house,BANGALORE,435.7,75,0.3,cash ,2024-02-15,38,20.06
212,4242,SPICE HUB,Hyderabad ,96.65,101,3.7,card,2024-02-03,35,30.88
213,1540,Pizza Point,mumbai,729.14,116,2.3, CARD ,2024-02-29,19,3.23
214,2059,pizza point,delhi,1014.32,17,3.0,card ,2024-04-25,30,8.75
215,3572,food express,Delhi,281.55,65,3.2,CASH,2024-01-24,45,53.7
216,2183,Food Express,BANGALORE,740.67,30,4.6,Cash ,2024-04-13,35,10.78
217,4910,Pizza Point , Chennai,289.5,38,3.3,card,2024-04-08,39,55.3
218,2722,Biryani House ,PUNE,533.2,127,3.6, Cash,2024-03-20,24,5.76
219,4314,food express,Hyderabad,877.0,143,2.0,upi,2024-02-28,36,53.29
220,4157,burger town,Mumbai ,369.89,64,0.8, Card,2024-02-25,53,27.22
221,2819, Burger Town,Mumbai ,496.33,15,4.1,Cash,2024-06-18,56,34.4
222,3625,spice hub,Delhi,49.62,90,0.0,upi ,2024-02-19,28,16.9
223,3729,FOOD EXPRESS,MUMBAI,333.95,42,2.0,cash  ,2024-06-26,20,16.4
224,3604,biryani house,delhi,23.43,126,1.3,cash ,2024-04-01,61,29.53
225,2597,pizza point,Pune,607.29,27,2.3,cash ,2024-01-22,29,21.35
226,4060,Food Express, Mumbai,707.91,26,1.9,upi,2024-06-02,22,4.66
227,3693,Biryani House, Bangalore,444.59,99,4.2, CARD ,2024-06-08,21,21.22
228,1795,biryani house,PUNE,571.47,41,1.6,Card ,2024-06-07,27,15.28
229,2051, Burger Town,Chennai ,418.57,111,3.4,upi,2024-04-25,61,50.98
230,2643,PIZZA POINT,hyderabad,685.14,63,2.7,CARD  ,2024-06-09,31,50.31
231,4627,burger town,Bangalore ,532.37,22,4.8,CASH,2024-02-10,47,8.49
232,2363,spice hub, Bangalore,3.58,18,2.6,Cash ,2024-01-17,57,43.8
233,4869,BIRYANI HOUSE,Delhi ,735.0,17,5.2, Cash,2024-01-17,26,27.05
234,2981,Pizza Point,Hyderabad,402.61,44,0.0, Cash,2024-01-18,19,52.11
235,2354,PIZZA POINT,Chennai ,182.41,6,3.6,cash,2024-03-22,44,16.44
236,2663,Food Express ,Mumbai,390.27,133,0.1,upi,2024-02-04,49,5.29
237,2529,Biryani House ,BANGALORE,24.48,116,4.3,Cash ,2024-06-06,24,48.03
238,3038,Pizza Point,CHENNAI,187.53,131,1.4,CARD,2024-02-11,25,52.1
239,4419,SPICE HUB,MUMBAI,535.74,143,2.3,Card,2024-04-23,23,50.43
240,2496,Burger Town ,KOLKATA,556.68,56,2.3,UPI,2024-01-03,51,19.76
241,4302,Pizza Point, Hyderabad,576.61,84,5.1, UPI,2024-06-06,47,1.85
242,3237,Spice Hub ,Mumbai,500.8,42,0.6, CARD ,2024-06-23,60,8.38
243,4296,BIRYANI HOUSE,delhi,326.78,129,4.0,cash,2024-05-28,21,55.16
244,2408,FOOD EXPRESS,Chennai ,486.39,141,5.9,CARD ,2024-02-24,21,21.84
245,2400,Biryani House ,Bangalore,390.7,44,0.1,CARD  ,2024-01-15,42,52.81
246,2306,Cafe Delight,MUMBAI,93.55,95,5.8,UPI,2024-04-17,17,58.85
247,3680,Biryani House ,mumbai,306.9,6,0.1, UPI,2024-04-30,24,23.74
248,3675,BURGER TOWN, Pune,722.39,27,5.0,upi ,2024-04-19,53,46.59
249,1972, Spice Hub,mumbai,897.07,102,5.8,cash,2024-06-10,20,10.15
250,2768,Spice Hub ,delhi,662.82,127,6.0,CARD ,2024-03-06,49,23.02
251,2282,cafe delight,MUMBAI,885.92,42,2.8,Cash ,2024-02-02,29,42.31
252,4430, Pizza Point,HYDERABAD,521.35,94,5.2, UPI,2024-01-13,25,12.43
253,1709,SPICE HUB,MUMBAI,935.59,138,0.7, cash ,2024-06-11,62,19.19
254,2479,CAFE DELIGHT,hyderabad,1013.62,87,2.6, cash ,2024-06-27,64,33.83
255,2434,Food Express,Kolkata,66.63,37,1.8, cash ,2024-01-30,22,41.47
256,1648,FOOD EXPRESS,DELHI,555.37,148,2.4, UPI,2024-01-24,35,21.41
257,1317,CAFE DELIGHT, Mumbai,521.61,49,4.2, Card,2024-05-07,26,22.61
258,4748, Food Express,Kolkata ,393.97,7,0.5,CASH ,2024-06-26,28,6.59
259,4296, Pizza Point,Hyderabad ,622.98,127,6.0,CARD,2024-03-03,32,59.04
260,4890,FOOD EXPRESS, Kolkata,510.28,113,3.8,CARD,2024-01-20,52,36.73
261,2257,cafe delight,Pune ,316.14,74,5.2,upi,2024-01-11,59,31.82
262,1683, Burger Town,Pune,493.35,89,5.0,UPI,2024-01-20,51,12.68
263,1663, Food Express,Delhi ,801.15,5,4.6,upi,2024-01-11,48,29.28
264,2998,food express,PUNE,545.63,95,0.2,UPI,2024-06-05,25,26.84
265,4898,Cafe Delight ,kolkata,656.74,43,3.1,CARD ,2024-01-30,49,15.51
266,4445, Pizza Point,CHENNAI,430.74,89,2.0,UPI,2024-01-08,60,26.78
267,4743,Cafe Delight,Hyderabad ,613.02,87,0.7,CARD ,2024-06-23,28,12.21
268,2631,PIZZA POINT,delhi,197.7,138,2.1,Cash,2024-03-08,40,42.61
269,2495, Burger Town,Pune,375.07,135,3.9, UPI,2024-04-10,59,54.53
270,4304,Cafe Delight , Kolkata,474.33,27,1.4,upi,2024-01-10,48,0.16
271,4763,FOOD EXPRESS,HYDERABAD,180.92,41,2.7,UPI,2024-01-13,25,33.38
272,2136, Biryani House, Delhi,292.45,127,2.4,card,2024-03-25,39,43.94
273,2853,biryani house,bangalore,578.28,107,0.3,UPI,2024-02-17,20,54.43
274,2520, Cafe Delight,DELHI,532.46,7,3.8,upi ,2024-06-14,25,21.51
275,3489,food express,MUMBAI,701.59,138,3.7,card ,2024-01-12,54,54.43
276,1563,Food Express,delhi,349.87,6,5.8,upi,2024-03-20,62,49.53
277,2291,Pizza Point ,Mumbai ,514.4,62,1.8,UPI,2024-05-29,42,31.51
278,4581,Food Express ,PUNE,332.03,56,2.5,UPI,2024-03-28,51,15.42
279,4878,Pizza Point,delhi,676.53,80,2.4,CARD ,2024-04-09,48,39.17
280,4457,BURGER TOWN,Mumbai ,797.69,21,5.5,Card ,2024-04-16,43,15.63
281,4458,burger town,CHENNAI,620.83,101,2.5,CARD,2024-05-16,55,20.93
282,4184,Burger Town, Hyderabad,765.3,70,2.7,CARD ,2024-04-12,58,28.02
283,2636,spice hub,bangalore,508.12,35,1.5,cash ,2024-03-29,18,29.88
284,4696,Biryani House ,HYDERABAD,701.4,141,0.0, UPI,2024-01-23,46,11.35
285,3999, Spice Hub,kolkata,518.85,18,0.7,Card,2024-01-06,44,41.63
286,4152,Biryani House ,mumbai,243.77,129,4.2,cash ,2024-02-21,59,59.51
287,1698, Burger Town,Mumbai ,561.68,95,4.1,cash ,2024-05-20,60,14.63
288,3160, Biryani House,Mumbai ,251.18,46,1.9, cash ,2024-06-01,59,33.27
289,1001,burger town,pune,1084.78,11,2.8,Card,2024-04-01,57,27.28
290,1641,Food Express,delhi,416.48,80,1.8,Card,2024-02-23,36,18.47
291,3267, Spice Hub,delhi,661.26,81,4.4,CARD ,2024-04-30,47,25.19
292,2589,burger town, Bangalore,496.9,88,5.1,Card ,2024-06-24,43,43.96
293,1854,Food Express ,Chennai,191.6,17,5.4, cash ,2024-06-11,36,24.88
294,2759,Biryani House,mumbai,25.37,8,1.0,UPI,2024-02-16,62,30.41
295,4296,cafe delight,delhi,687.25,3,4.2,CASH ,2024-02-04,50,28.63
296,3432, Spice Hub,delhi,887.34,22,5.8,upi,2024-04-27,45,33.31
297,4474, Burger Town,MUMBAI,316.3,132,3.9,CARD ,2024-06-29,62,17.47
298,2661,Food Express , Hyderabad,85.83,72,2.1,card ,2024-05-15,32,30.58
299,2153,Cafe Delight ,Hyderabad,418.71,4,3.8,cash  ,2024-02-28,44,8.09
300,2076, Pizza Point,Kolkata,265.72,133,4.1,cash ,2024-05-26,63,44.48
301,2707,Cafe Delight , Kolkata,337.42,9,2.4,cash,2024-02-16,17,6.66
302,3777,Biryani House , Pune,652.59,86,0.6,UPI,2024-06-02,48,47.1
303,2695,biryani house,Bangalore,487.38,56,3.6, Cash,2024-01-03,19,49.53
304,2733, Food Express, Hyderabad,292.62,43,4.8,UPI,2024-02-12,64,1.14
305,2439,BIRYANI HOUSE, Mumbai,647.13,117,6.0,cash ,2024-03-28,54,49.85
306,3294,BURGER TOWN,Chennai ,666.72,135,1.3,card,2024-02-24,40,38.89
307,1835, Cafe Delight,BANGALORE,415.74,104,4.2,CARD ,2024-02-16,20,5.81
308,4510,food express,Mumbai,534.48,84,0.2,upi,2024-03-19,19,59.88
309,1202, Pizza Point,MUMBAI,630.13,65,5.8,CARD ,2024-03-09,44,36.93
