emp_id,age,salary,department,experience_years,last_promotion_year,performance_score,work_hours_per_week,remote_work_ratio,job_satisfaction,left_company,joining_date,bonus,manager_rating,training_hours,city,loan_default_history
E00146,thirty,112884,Information Technology,60,2015,4.0,120,8,1.0,No,,,4,172,Mumbai,No
E00147,thirty,9999999,IT,13,2017,,35,2,1.0,No,01-10-2016,1000.0,5,100,Mumbai,Yes
E00148,25,27k,,1,2021,4.0,120,27,7.0,No,,0.0,1,152,Delhi,Yes
E00149,thirty,-1245,Human Resource,,2012,1.0,60,68,8.0,No,2022/06/12,,1,118,Kolkata,No
E00150,thirty,"20,935",Finance,45,2017,5.0,10,85,1.0,Yes,29-03-2021,,2,100,Delhi,No
E00151,,"20,465",it,37,2010,4.0,40,46,3.0,No,19-03-2026,,1,49,,No
E00152,,47k,Human Resource,,2013,,60,18,9.0,No,20-06-2022,8000.0,2,67,Delhi,No
E00153,5,₹36370,it,54,2015,3.0,120,14,4.0,No,24-10-2017,8000.0,3,164,Kolkata,Yes
E00154,-9,9999999,Finance,18,2022,,60,63,2.0,No,32/01/2020,,4,117,Kolkata,No
E00155,0,147723,Finance,48,2017,4.0,60,18,,Yes,2021/10/18,8000.0,2,112,Delhi,No
E00156,19,-10293,Finance,,2021,5.0,60,56,,No,July 04 2018,,1,91,,Yes
E00157,10,"47,145",FIN,46,2017,,50,45,,No,25-03-2018,,2,116,Bangalore,Yes
E00158,40,147679,,ten,2016,,35,27,10.0,No,April 24 2017,1000.0,2,175,Delhi,No
E00159,thirty,75k,Human Resource,ten,2020,5.0,50,31,10.0,No,32/01/2020,,4,118,Bangalore,No
E00160,40,-21260,it,ten,2012,5.0,40,93,1.0,No,2021/12/15,1000.0,1,113,Kolkata,Yes
E00161,0,68k,Operations,ten,2024,4.0,50,32,9.0,No,30-12-2025,,3,169,Pune,Yes
E00162,116,9999999,Operations,ten,2014,5.0,45,90,8.0,No,32/01/2020,0.0,3,143,,Yes
E00163,97,-42914,it,ten,2010,,10,76,,No,11-03-2026,2000.0,1,18,Bangalore,Yes
E00164,thirty,-3873,Operations,,2016,3.0,50,54,2.0,No,2021/10/25,1000.0,5,27,Delhi,No
E00165,3,28330,Information Technology,ten,2023,1.0,45,58,2.0,No,,8000.0,1,141,Mumbai,No
E00166,,₹129578,HR,ten,2020,,40,67,5.0,No,2018/05/18,,4,72,,No
E00167,,22240,Sales,ten,2012,,40,93,5.0,No,2017/03/06,0.0,2,114,Bangalore,Yes
E00168,thirty,9999999,HR,48,2016,4.0,35,71,10.0,No,32/01/2020,,3,145,,Yes
E00169,57,₹146330,Information Technology,41,2011,,60,84,,Yes,,1000.0,3,121,Pune,Yes
E00170,27,-2130,Finance,43,2020,,10,49,4.0,No,2025/11/11,,5,90,Pune,No
E00171,thirty,9999999,HR,ten,2022,5.0,120,76,9.0,No,August 04 2021,,2,51,Pune,Yes
E00172,thirty,"53,364",it,,2016,,60,57,5.0,No,32/01/2020,5000.0,1,112,Delhi,Yes
E00173,,31k,,18,2019,4.0,35,7,,No,,2000.0,4,82,,Yes
E00174,,78k,Sales,,2019,,40,32,2.0,No,32/01/2020,0.0,4,125,Bangalore,Yes
E00175,107,9999999,,,2010,4.0,60,17,3.0,No,January 29 2025,8000.0,2,22,Chennai,Yes
E00176,,-26552,Operations,,2021,,120,5,7.0,No,,,3,36,Delhi,No
E00177,32,-35361,HR,,2024,2.0,50,65,10.0,No,21-06-2020,8000.0,3,84,Bangalore,Yes
E00178,,"75,223",Human Resource,60,2024,,10,35,,No,,5000.0,3,145,Mumbai,No
E00179,5,-10142,Finance,,2010,,60,98,1.0,No,,,4,9,Pune,No
E00180,-10,-32268,HR,ten,2022,3.0,35,79,,No,,8000.0,4,51,,No
E00181,thirty,"48,992",IT,43,2012,3.0,35,28,9.0,No,July 07 2016,,2,91,Chennai,Yes
E00182,-5,-9123,HR,ten,2012,,10,71,6.0,No,2022/12/02,2000.0,2,140,Pune,No
E00183,29,9999999,Sales,,2012,2.0,40,80,,No,,,4,145,Bangalore,No
E00184,114,9999999,HR,44,2012,5.0,35,86,10.0,No,January 11 2022,5000.0,4,164,,No
E00185,88,"80,473",IT,16,2013,3.0,50,46,6.0,No,21-11-2017,,2,3,Chennai,Yes
E00186,thirty,"30,862",IT,25,2017,3.0,35,84,,No,2022/08/12,,4,143,Bangalore,No
E00187,116,"30,843",it,22,2014,,45,5,,No,November 16 2024,5000.0,5,130,Bangalore,Yes
E00188,,"54,144",FIN,57,2022,5.0,10,67,,No,,0.0,5,137,Mumbai,Yes
E00189,2,-39986,it,44,2014,,120,77,2.0,No,22-10-2022,,3,142,Delhi,Yes
E00190,36,-45527,FIN,ten,2022,2.0,60,26,8.0,No,,,4,150,Delhi,No
E00191,,9999999,Information Technology,ten,2014,1.0,45,50,1.0,No,11-04-2018,0.0,2,154,Delhi,No
E00192,thirty,"69,534",it,ten,2010,4.0,45,17,,No,2021/09/09,,1,72,,No
E00193,thirty,"21,870",,44,2013,,40,9,5.0,No,2015/10/12,1000.0,4,37,Delhi,Yes
E00194,28,156497,Human Resource,39,2020,,50,71,9.0,No,,,5,39,Delhi,Yes
E00195,-6,80k,,ten,2021,,40,54,2.0,Yes,April 22 2023,,4,10,Pune,No
E00196,50,33k,Information Technology,ten,2017,,45,57,2.0,No,October 18 2018,,2,125,Pune,Yes
E00197,thirty,32k,Human Resource,45,2017,,10,70,2.0,No,22-01-2019,2000.0,4,4,Delhi,Yes
E00198,,105999,,ten,2023,4.0,60,60,4.0,No,18-12-2018,5000.0,2,83,Mumbai,Yes
E00199,92,103384,Information Technology,,2022,,50,36,8.0,No,32/01/2020,2000.0,5,71,Chennai,Yes
E00200,,₹115419,Human Resource,4,2014,,40,70,,No,05-10-2025,2000.0,3,57,Delhi,Yes
E00201,-2,"89,535",Operations,,2010,,45,77,5.0,No,32/01/2020,,4,156,Pune,No
E00202,,"71,953",,26,2023,1.0,120,57,,No,01-11-2018,,3,135,,Yes
E00203,8,"57,831",HR,ten,2023,1.0,120,62,1.0,No,32/01/2020,0.0,4,121,Pune,No
E00204,thirty,"36,111",,ten,2024,,45,78,7.0,No,2022/10/22,5000.0,2,12,Pune,Yes
E00205,108,"71,559",Information Technology,22,2018,5.0,50,51,,No,32/01/2020,,1,108,Kolkata,Yes
E00206,thirty,-19594,HR,,2024,4.0,50,89,3.0,No,32/01/2020,,5,79,Bangalore,No
E00207,106,-43483,Human Resource,9,2010,,35,71,4.0,No,February 25 2020,5000.0,5,199,Chennai,Yes
E00208,-2,38k,Information Technology,26,2023,5.0,60,21,3.0,No,2022/07/22,1000.0,1,110,Delhi,No
E00209,thirty,"23,712",,60,2022,2.0,50,2,3.0,No,June 25 2024,8000.0,4,192,Mumbai,No
E00210,,"23,271",IT,39,2024,4.0,40,29,,No,,1000.0,1,170,Mumbai,No
E00211,,-48485,Finance,27,2015,5.0,35,32,1.0,No,32/01/2020,0.0,1,58,Mumbai,Yes
E00212,97,76k,Operations,,2021,,35,7,8.0,No,17-08-2020,8000.0,3,196,Bangalore,Yes
E00213,thirty,-27960,Human Resource,7,2021,,35,91,9.0,Yes,,,5,190,,Yes
E00214,thirty,151520,,55,2022,2.0,35,77,5.0,No,2019/09/15,0.0,2,55,Chennai,Yes
E00215,-8,25k,it,,2012,,40,12,9.0,No,,,4,79,Bangalore,No
E00216,1,9999999,,42,2023,,45,43,1.0,No,,,1,152,Pune,Yes
E00217,22,81k,IT,,2014,1.0,60,18,9.0,No,2018/12/02,8000.0,2,200,Chennai,No
E00218,6,28k,Information Technology,,2015,,50,70,6.0,No,,2000.0,2,114,Chennai,Yes
E00219,-8,-40606,Human Resource,,2015,1.0,45,66,,No,,0.0,5,50,,No
E00220,53,67350,Information Technology,ten,2016,4.0,50,46,9.0,No,January 02 2022,2000.0,2,7,Bangalore,No
E00221,,13220,Operations,ten,2013,,35,45,6.0,No,August 05 2022,,5,158,Mumbai,Yes
E00222,thirty,9999999,Finance,,2023,,40,83,1.0,No,32/01/2020,,1,81,Bangalore,Yes
E00223,,-48500,Information Technology,ten,2011,,50,50,5.0,No,,,3,6,,Yes
E00224,110,53669,HR,11,2020,3.0,10,68,6.0,No,32/01/2020,1000.0,4,167,Delhi,Yes
E00225,thirty,22k,Operations,54,2022,3.0,120,89,1.0,No,2025/04/04,,5,181,Kolkata,No
E00226,5,-2878,Sales,,2017,5.0,120,14,9.0,No,February 23 2023,5000.0,2,98,,No
E00227,26,9999999,IT,ten,2014,,10,40,4.0,No,March 27 2020,,2,23,Bangalore,No
E00228,,127573,HR,,2015,,120,39,,No,32/01/2020,5000.0,3,114,Chennai,No
E00229,thirty,₹100551,Operations,54,2016,4.0,35,80,9.0,No,03-01-2017,,5,26,Kolkata,Yes
E00230,23,₹89367,IT,11,2017,,120,23,5.0,No,January 11 2024,8000.0,4,76,Bangalore,No
E00231,,141777,Sales,,2021,1.0,60,88,,No,2022/09/03,,3,186,Bangalore,No
E00232,2,"54,690",Sales,ten,2019,,50,58,7.0,No,July 25 2016,,5,102,Delhi,No
E00233,-7,₹86342,Human Resource,16,2011,,40,72,1.0,No,18-07-2020,,4,156,Delhi,Yes
E00234,114,172079,it,7,2021,,10,10,,No,12-12-2018,,5,196,,No
E00235,,93714,Human Resource,ten,2020,2.0,40,79,6.0,No,32/01/2020,,2,118,Kolkata,Yes
E00236,85,96947,Sales,10,2011,3.0,45,50,9.0,No,November 01 2025,,3,139,Kolkata,No
E00237,thirty,"55,869",FIN,4,2016,,45,63,10.0,No,2021/12/21,8000.0,3,146,,Yes
E00238,-10,59k,it,0,2015,3.0,40,85,7.0,No,32/01/2020,,4,174,Kolkata,No
E00239,thirty,22405,Information Technology,,2014,4.0,60,79,1.0,No,,,3,154,Mumbai,Yes
E00240,81,"70,173",Finance,ten,2010,2.0,50,51,1.0,Yes,November 09 2023,,1,154,Mumbai,No
E00241,2,-4685,,55,2011,,120,92,9.0,No,,,4,23,Pune,No
E00242,33,46k,Human Resource,59,2014,4.0,10,58,,No,May 21 2022,8000.0,3,165,Chennai,Yes
E00243,85,90k,Human Resource,,2024,2.0,10,40,,No,February 08 2026,1000.0,1,118,Pune,Yes
E00244,6,-20383,IT,52,2015,,60,70,3.0,Yes,,5000.0,1,1,Chennai,Yes
E00245,18,32k,Operations,13,2020,5.0,45,55,7.0,No,July 20 2022,1000.0,3,112,Delhi,Yes
E00246,,9999999,Finance,53,2020,,120,11,5.0,No,32/01/2020,5000.0,3,193,Kolkata,Yes
E00247,120,-28307,,30,2023,5.0,60,91,,No,32/01/2020,8000.0,5,71,Bangalore,Yes
E00248,27,"70,001",Human Resource,ten,2024,,35,93,5.0,No,06-03-2016,5000.0,2,77,Mumbai,Yes
E00249,33,"48,146",HR,38,2010,,120,73,7.0,No,May 02 2023,5000.0,3,45,Bangalore,No
E00250,,84k,Finance,22,2010,3.0,10,25,,No,32/01/2020,,5,57,Pune,No
E00251,4,9999999,IT,29,2023,,60,41,1.0,No,2018/06/06,5000.0,3,10,Kolkata,Yes
E00252,56,9999999,Human Resource,59,2013,1.0,35,7,4.0,No,10-08-2019,,5,111,Pune,No
E00253,-6,28k,Finance,ten,2014,2.0,40,34,7.0,No,32/01/2020,8000.0,5,59,Pune,Yes
E00254,116,181555,IT,ten,2016,2.0,40,52,10.0,No,,8000.0,4,2,Mumbai,No
E00255,,"45,523",Finance,,2011,1.0,35,44,4.0,No,,1000.0,3,99,,No
E00256,thirty,"49,467",,,2021,5.0,50,59,4.0,No,,0.0,2,41,Kolkata,No
E00257,thirty,₹31514,Human Resource,ten,2013,3.0,35,42,7.0,No,32/01/2020,,2,157,Mumbai,No
E00258,102,59k,HR,,2015,,45,71,,No,,0.0,1,108,Mumbai,Yes
E00259,thirty,71521,FIN,,2017,,45,0,,No,2019/09/14,8000.0,5,107,Pune,Yes
E00260,5,69k,IT,22,2014,1.0,45,77,1.0,No,November 28 2019,,4,20,Delhi,Yes
E00261,,73k,Human Resource,51,2015,1.0,120,17,,No,,,4,29,Kolkata,No
E00262,,9999999,FIN,33,2013,1.0,45,75,,No,32/01/2020,2000.0,1,94,Chennai,No
E00263,85,₹50974,FIN,ten,2019,3.0,50,17,10.0,No,September 23 2021,1000.0,4,8,Pune,No
E00264,thirty,9999999,Human Resource,26,2013,2.0,45,23,4.0,No,,,1,158,Chennai,Yes
E00265,8,"66,735",Sales,60,2019,,45,67,6.0,No,32/01/2020,,4,150,Delhi,Yes
E00266,,₹72221,Information Technology,43,2020,1.0,10,67,3.0,No,June 24 2020,2000.0,2,119,,No
E00267,thirty,"48,961",Information Technology,54,2018,1.0,120,12,,No,08-09-2021,2000.0,3,160,,Yes
E00268,,"46,859",Operations,,2018,4.0,60,3,,No,2016/04/10,2000.0,1,26,Bangalore,Yes
