age,salary,experience,city,education,purchased
50.0,34150.0,14.0,,PostGraduate,1
18.0,61182.0,,Kolkata,,1
44.0,50852.0,2.0,Kolkata,Graduate,0
69.0,52499.0,25.0,Delhi,PostGraduate,1
30.0,59384.0,11.0,Bangalore,PostGraduate,1
58.0,38656.0,8.0,Kolkata,Graduate,1
20.0,88809.0,6.0,Chennai,PostGraduate,0
56.0,69978.0,0.0,Chennai,School,1
23.0,42024.0,20.0,Delhi,PostGraduate,1
25.0,33639.0,27.0,,Graduate,1
,48681.0,29.0,Mumbai,Graduate,0
26.0,52734.0,10.0,Mumbai,PostGraduate,1
54.0,65984.0,9.0,Bangalore,PostGraduate,1
50.0,32469.0,18.0,Mumbai,Graduate,0
68.0,54282.0,1.0,Bangalore,PostGraduate,0
59.0,135325.0,12.0,Chennai,PostGraduate,0
61.0,56545.0,29.0,Delhi,Graduate,1
41.0,48387.0,16.0,Chennai,Graduate,0
32.0,79050.0,1.0,Kolkata,Graduate,1
49.0,26810.0,0.0,,Graduate,0
49.0,,21.0,Delhi,PostGraduate,0
41.0,24443.0,24.0,Delhi,Graduate,0
58.0,30092.0,2.0,Delhi,Graduate,0
69.0,24844.0,25.0,Chennai,School,1
66.0,53755.0,9.0,Delhi,Graduate,1
66.0,32395.0,,Chennai,PostGraduate,1
69.0,,13.0,Kolkata,PostGraduate,0
29.0,53042.0,21.0,Mumbai,Graduate,1
56.0,56777.0,5.0,Mumbai,School,1
19.0,50598.0,17.0,Chennai,,0
20.0,47567.0,19.0,Kolkata,School,0
66.0,,29.0,Bangalore,School,0
54.0,52188.0,28.0,Bangalore,PostGraduate,1
66.0,62085.0,,Bangalore,Graduate,0
34.0,52144.0,11.0,Kolkata,Graduate,0
66.0,33532.0,26.0,Kolkata,Graduate,0
19.0,291240.0,10.0,Delhi,Graduate,1
19.0,40163.0,14.0,,School,1
45.0,48635.0,,Mumbai,Graduate,0
40.0,54581.0,20.0,Mumbai,School,0
54.0,20879.0,5.0,Bangalore,Graduate,1
49.0,25857.0,21.0,Chennai,PostGraduate,0
50.0,,1.0,Mumbai,Graduate,1
18.0,40044.0,13.0,Kolkata,School,0
36.0,40755.0,4.0,Bangalore,Graduate,1
19.0,,14.0,Mumbai,School,1
61.0,44215.0,4.0,Delhi,Graduate,0
43.0,56264.0,9.0,Delhi,PostGraduate,0
,49233.0,13.0,Kolkata,School,1
23.0,52979.0,17.0,Chennai,Graduate,0
49.0,39472.0,22.0,Delhi,Graduate,1
21.0,52904.0,25.0,Chennai,School,1
28.0,66576.0,1.0,,School,1
34.0,41484.0,16.0,Delhi,PostGraduate,0
55.0,63730.0,27.0,Mumbai,School,1
41.0,49227.0,5.0,Chennai,Graduate,0
22.0,,0.0,Mumbai,Graduate,1
69.0,51932.0,3.0,Bangalore,Graduate,0
51.0,49499.0,19.0,Bangalore,Graduate,1
23.0,55246.0,21.0,Chennai,PostGraduate,1
39.0,68204.0,27.0,Delhi,PostGraduate,0
28.0,53541.0,14.0,Kolkata,PostGraduate,1
65.0,57178.0,20.0,Delhi,,0
33.0,44473.0,3.0,Mumbai,PostGraduate,1
50.0,73563.0,21.0,,PostGraduate,0
26.0,59605.0,25.0,Kolkata,PostGraduate,1
23.0,51166.0,4.0,Chennai,PostGraduate,0
33.0,48160.0,22.0,,PostGraduate,0
46.0,323345.0,20.0,Chennai,PostGraduate,0
20.0,40907.0,24.0,Kolkata,PostGraduate,1
37.0,23257.0,18.0,Chennai,PostGraduate,0
53.0,51086.0,14.0,Delhi,School,1
36.0,67850.0,13.0,Delhi,School,1
43.0,73870.0,,Kolkata,School,0
20.0,48391.0,17.0,Delhi,School,1
36.0,,28.0,,PostGraduate,1
37.0,57793.0,0.0,Bangalore,School,0
49.0,46035.0,20.0,Kolkata,Graduate,0
24.0,57746.0,10.0,Mumbai,Graduate,1
69.0,243595.0,11.0,Chennai,School,1
58.0,65171.0,28.0,Mumbai,Graduate,1
50.0,60845.0,,Mumbai,School,1
57.0,,,,School,1
56.0,46920.0,2.0,Bangalore,PostGraduate,0
,78889.0,22.0,Delhi,Graduate,1
57.0,57259.0,15.0,Mumbai,Graduate,0
18.0,53709.0,3.0,Kolkata,School,0
28.0,38586.0,15.0,Chennai,School,0
45.0,48544.0,22.0,Delhi,PostGraduate,0
42.0,51716.0,20.0,Kolkata,,0
67.0,38185.0,5.0,,School,0
40.0,45615.0,23.0,Kolkata,School,0
48.0,47513.0,,Delhi,PostGraduate,0
47.0,50839.0,28.0,,Graduate,1
59.0,23559.0,25.0,Kolkata,PostGraduate,1
52.0,47971.0,24.0,Delhi,School,1
24.0,44340.0,7.0,Chennai,Graduate,1
33.0,49687.0,5.0,Chennai,PostGraduate,1
43.0,65529.0,,Chennai,Graduate,1
65.0,80786.0,20.0,Delhi,School,1
69.0,60176.0,3.0,Kolkata,Graduate,1
66.0,31484.0,29.0,Bangalore,PostGraduate,0
19.0,44819.0,1.0,Bangalore,School,0
18.0,58939.0,7.0,Kolkata,PostGraduate,0
65.0,57249.0,2.0,Chennai,PostGraduate,1
29.0,64810.0,15.0,Delhi,Graduate,1
22.0,48540.0,5.0,Mumbai,PostGraduate,1
54.0,44547.0,16.0,Mumbai,PostGraduate,1
,76286.0,20.0,Chennai,,1
26.0,50880.0,2.0,Kolkata,School,0
58.0,34750.0,13.0,Delhi,,0
52.0,,0.0,Kolkata,Graduate,1
36.0,27559.0,6.0,Chennai,Graduate,1
,-2426.0,23.0,Delhi,School,0
33.0,61541.0,9.0,Bangalore,School,1
20.0,63661.0,24.0,Kolkata,Graduate,1
37.0,56210.0,19.0,Kolkata,Graduate,0
41.0,30463.0,1.0,Chennai,School,0
50.0,49117.0,13.0,,Graduate,1
,45827.0,,Chennai,Graduate,1
69.0,209705.0,24.0,Bangalore,School,0
28.0,71181.0,19.0,Chennai,School,0
66.0,34300.0,5.0,Chennai,Graduate,0
25.0,54742.0,27.0,,School,0
53.0,67911.0,,Kolkata,PostGraduate,1
,55722.0,28.0,Chennai,School,1
57.0,68617.0,24.0,Chennai,PostGraduate,0
37.0,58456.0,11.0,Delhi,School,1
52.0,,10.0,Delhi,PostGraduate,0
65.0,55503.0,19.0,Kolkata,School,0
42.0,59202.0,,Delhi,School,1
52.0,44217.0,17.0,Kolkata,Graduate,1
42.0,30472.0,0.0,Kolkata,School,1
46.0,64311.0,0.0,Mumbai,PostGraduate,0
35.0,67426.0,4.0,Mumbai,School,0
63.0,53780.0,6.0,Chennai,Graduate,0
35.0,41774.0,11.0,Kolkata,School,1
19.0,26634.0,4.0,Kolkata,Graduate,0
52.0,51287.0,13.0,Mumbai,Graduate,1
33.0,29766.0,19.0,Delhi,Graduate,1
58.0,27665.0,29.0,Delhi,Graduate,1
53.0,49689.0,8.0,Delhi,PostGraduate,0
50.0,38543.0,17.0,Kolkata,PostGraduate,1
21.0,55180.0,,Mumbai,School,0
50.0,47611.0,9.0,Bangalore,Graduate,0
,40900.0,16.0,Mumbai,School,0
38.0,24426.0,4.0,Chennai,PostGraduate,0
65.0,37207.0,27.0,Delhi,Graduate,0
37.0,37758.0,4.0,Delhi,PostGraduate,0
25.0,31620.0,0.0,Kolkata,Graduate,1
24.0,45064.0,5.0,Chennai,Graduate,0
20.0,32791.0,20.0,Mumbai,School,1
34.0,47544.0,6.0,Kolkata,School,1
50.0,53606.0,10.0,Bangalore,,0
65.0,37607.0,,Delhi,PostGraduate,1
,56381.0,0.0,Bangalore,School,1
68.0,29580.0,2.0,Delhi,Graduate,1
39.0,33317.0,12.0,,School,1
,48302.0,15.0,Chennai,,1
63.0,60306.0,25.0,Chennai,PostGraduate,1
47.0,63011.0,12.0,Kolkata,PostGraduate,0
,74186.0,8.0,Chennai,PostGraduate,0
55.0,44351.0,5.0,Delhi,PostGraduate,0
62.0,48087.0,17.0,Mumbai,PostGraduate,1
68.0,,28.0,Delhi,Graduate,1
25.0,31194.0,24.0,Mumbai,Graduate,0
44.0,53429.0,2.0,Chennai,School,0
44.0,38362.0,18.0,Bangalore,PostGraduate,0
51.0,68486.0,,,,1
38.0,28064.0,4.0,Chennai,PostGraduate,1
,57295.0,2.0,Bangalore,PostGraduate,0
50.0,34914.0,21.0,Mumbai,Graduate,0
45.0,37693.0,,Bangalore,PostGraduate,0
64.0,58087.0,10.0,Mumbai,PostGraduate,0
50.0,39862.0,24.0,Chennai,Graduate,0
22.0,42263.0,25.0,Chennai,Graduate,0
65.0,37818.0,9.0,Bangalore,PostGraduate,0
36.0,76775.0,13.0,Delhi,School,0
21.0,40738.0,27.0,Kolkata,PostGraduate,0
52.0,50773.0,18.0,Bangalore,PostGraduate,1
66.0,46971.0,18.0,Chennai,PostGraduate,0
34.0,53321.0,3.0,Chennai,PostGraduate,0
61.0,40779.0,20.0,Chennai,Graduate,0
45.0,46988.0,9.0,Kolkata,Graduate,0
47.0,55909.0,23.0,Kolkata,Graduate,1
,37055.0,,Delhi,PostGraduate,0
63.0,66340.0,25.0,Kolkata,PostGraduate,1
23.0,67782.0,16.0,Chennai,Graduate,0
52.0,59097.0,22.0,Bangalore,,1
58.0,51048.0,7.0,Kolkata,School,0
54.0,5141.0,4.0,Chennai,,0
41.0,56364.0,7.0,Bangalore,PostGraduate,0
46.0,44130.0,29.0,Kolkata,,1
66.0,46306.0,7.0,Kolkata,Graduate,0
63.0,21539.0,3.0,Mumbai,School,1
48.0,57404.0,9.0,Kolkata,School,1
,28271.0,26.0,Kolkata,,1
50.0,,18.0,Delhi,Graduate,1
69.0,63570.0,28.0,Chennai,Graduate,0
38.0,,8.0,Mumbai,School,0
49.0,68241.0,14.0,Kolkata,Graduate,1
40.0,38795.0,19.0,Chennai,Graduate,0
50.0,59006.0,5.0,Kolkata,School,1
20.0,,17.0,Delhi,Graduate,0
,65467.0,22.0,Delhi,School,1
42.0,63140.0,11.0,Chennai,Graduate,1
59.0,,6.0,Bangalore,PostGraduate,0
48.0,44101.0,21.0,Kolkata,PostGraduate,1
20.0,,11.0,Bangalore,School,0
57.0,,13.0,Chennai,PostGraduate,1
63.0,66655.0,13.0,Mumbai,PostGraduate,0
41.0,51949.0,10.0,Mumbai,School,0
67.0,26704.0,16.0,Kolkata,,0
49.0,33129.0,17.0,Kolkata,PostGraduate,1
64.0,68797.0,2.0,Mumbai,School,0
39.0,57319.0,18.0,Delhi,PostGraduate,0
40.0,31490.0,5.0,Kolkata,Graduate,0
19.0,23513.0,26.0,Chennai,Graduate,1
,40624.0,7.0,Kolkata,,0
59.0,22230.0,2.0,Chennai,Graduate,0
19.0,47662.0,,Mumbai,School,1
,86774.0,8.0,Kolkata,School,1
34.0,26046.0,11.0,,School,0
57.0,47210.0,7.0,Chennai,School,1
50.0,,7.0,Delhi,Graduate,1
26.0,61236.0,0.0,Chennai,PostGraduate,0
60.0,47769.0,24.0,Bangalore,PostGraduate,0
65.0,47805.0,6.0,Delhi,PostGraduate,0
56.0,32661.0,29.0,Delhi,School,0
46.0,45985.0,9.0,Delhi,Graduate,0
59.0,53652.0,15.0,Delhi,School,1
43.0,66577.0,3.0,Delhi,School,0
52.0,40697.0,12.0,Mumbai,School,1
67.0,47152.0,21.0,Kolkata,Graduate,1
42.0,,16.0,Delhi,School,0
41.0,53380.0,28.0,Bangalore,Graduate,0
30.0,61757.0,10.0,Chennai,Graduate,1
24.0,59445.0,14.0,Mumbai,Graduate,0
53.0,32447.0,23.0,,School,1
62.0,52203.0,15.0,Mumbai,School,1
37.0,39840.0,8.0,Mumbai,Graduate,0
18.0,65166.0,15.0,,Graduate,1
25.0,47580.0,24.0,Kolkata,School,1
63.0,27207.0,29.0,Bangalore,School,0
33.0,46703.0,11.0,Bangalore,,0
31.0,56877.0,8.0,Kolkata,School,1
,53660.0,14.0,Mumbai,PostGraduate,0
68.0,42323.0,28.0,,,0
40.0,41221.0,16.0,Mumbai,School,0
32.0,35187.0,25.0,Bangalore,Graduate,0
45.0,,25.0,Kolkata,Graduate,0
51.0,37165.0,11.0,Mumbai,,0
19.0,64551.0,9.0,Chennai,PostGraduate,0
49.0,36483.0,24.0,Bangalore,School,0
40.0,51834.0,25.0,Delhi,Graduate,1
39.0,,5.0,Mumbai,Graduate,0
68.0,64185.0,26.0,Bangalore,School,1
42.0,66341.0,,Kolkata,PostGraduate,0
39.0,60440.0,5.0,Kolkata,School,0
39.0,55294.0,0.0,Delhi,,1
66.0,34270.0,1.0,Mumbai,PostGraduate,1
69.0,33967.0,26.0,Delhi,Graduate,1
59.0,37315.0,9.0,Kolkata,Graduate,0
23.0,61279.0,7.0,Mumbai,School,1
32.0,51100.0,17.0,Chennai,School,1
60.0,63030.0,,Chennai,School,0
54.0,65042.0,8.0,,School,0
50.0,39111.0,19.0,Delhi,School,0
25.0,252405.0,10.0,Mumbai,School,0
,,3.0,Chennai,School,1
61.0,45083.0,29.0,Delhi,,0
22.0,41977.0,27.0,Mumbai,PostGraduate,0
56.0,67771.0,4.0,Kolkata,,1
21.0,50780.0,6.0,Chennai,Graduate,0
23.0,50197.0,26.0,Chennai,PostGraduate,0
,37958.0,16.0,Delhi,PostGraduate,0
49.0,60128.0,8.0,Delhi,PostGraduate,1
69.0,34923.0,14.0,Chennai,Graduate,0
47.0,56824.0,5.0,Kolkata,School,0
,57233.0,28.0,Delhi,PostGraduate,1
52.0,43812.0,4.0,Delhi,School,1
57.0,54765.0,12.0,Chennai,Graduate,1
69.0,52785.0,20.0,Delhi,Graduate,0
33.0,49410.0,16.0,Chennai,Graduate,1
30.0,50194.0,0.0,Chennai,Graduate,1
67.0,50927.0,22.0,Mumbai,PostGraduate,0
59.0,51949.0,17.0,Delhi,PostGraduate,1
47.0,50904.0,13.0,Chennai,Graduate,0
36.0,33442.0,11.0,Delhi,Graduate,0
34.0,47717.0,3.0,Bangalore,PostGraduate,1
36.0,53974.0,7.0,Bangalore,Graduate,1
45.0,257295.0,5.0,,PostGraduate,0
43.0,64306.0,27.0,Mumbai,PostGraduate,0
54.0,59301.0,,,School,1
43.0,36944.0,22.0,Bangalore,School,1
40.0,47501.0,22.0,Kolkata,PostGraduate,1
26.0,45330.0,16.0,Delhi,Graduate,0
29.0,,,Mumbai,School,0
18.0,49955.0,20.0,Chennai,Graduate,0
18.0,59173.0,6.0,Delhi,PostGraduate,0
64.0,52660.0,5.0,Chennai,School,0
51.0,68458.0,16.0,Kolkata,School,0
,53615.0,22.0,Mumbai,Graduate,0
65.0,37541.0,16.0,Chennai,PostGraduate,1
42.0,42991.0,13.0,Bangalore,Graduate,1
,59057.0,1.0,Mumbai,School,0
62.0,25787.0,15.0,Chennai,PostGraduate,0
18.0,29812.0,26.0,Mumbai,School,0
33.0,50160.0,12.0,Chennai,Graduate,0
56.0,64264.0,15.0,Bangalore,,0
22.0,69606.0,12.0,,School,1
39.0,46743.0,25.0,Chennai,Graduate,0
46.0,65912.0,,Chennai,PostGraduate,0
20.0,51084.0,22.0,Mumbai,PostGraduate,1
29.0,27029.0,,Chennai,PostGraduate,0
43.0,49879.0,12.0,Bangalore,PostGraduate,1
33.0,,26.0,Chennai,Graduate,1
68.0,63773.0,29.0,Mumbai,School,0
54.0,49615.0,11.0,Mumbai,PostGraduate,1
39.0,30831.0,4.0,Chennai,PostGraduate,0
46.0,27504.0,14.0,Kolkata,Graduate,0
31.0,49685.0,2.0,Delhi,School,0
45.0,13697.0,,Bangalore,PostGraduate,1
22.0,42228.0,14.0,Mumbai,Graduate,1
64.0,53465.0,27.0,,PostGraduate,1
66.0,34145.0,14.0,Kolkata,Graduate,0
47.0,64910.0,13.0,Kolkata,PostGraduate,0
63.0,67865.0,23.0,Mumbai,School,1
69.0,,8.0,,School,0
22.0,,5.0,Chennai,PostGraduate,0
29.0,64920.0,10.0,Bangalore,School,1
33.0,49980.0,28.0,Delhi,School,0
43.0,29083.0,15.0,Kolkata,School,0
43.0,47850.0,12.0,Mumbai,Graduate,0
65.0,37206.0,10.0,Bangalore,Graduate,0
38.0,66623.0,1.0,Bangalore,PostGraduate,1
56.0,59089.0,17.0,Delhi,PostGraduate,0
53.0,45294.0,24.0,Kolkata,Graduate,0
50.0,52132.0,8.0,Chennai,School,1
47.0,30378.0,14.0,Chennai,PostGraduate,0
54.0,38693.0,13.0,Kolkata,School,0
40.0,73299.0,9.0,,Graduate,1
27.0,50803.0,6.0,Bangalore,,0
22.0,63951.0,29.0,Bangalore,PostGraduate,0
53.0,53480.0,3.0,Mumbai,School,0
51.0,69714.0,29.0,Chennai,School,1
69.0,20017.0,14.0,Mumbai,Graduate,0
48.0,47177.0,19.0,Delhi,,0
27.0,74672.0,17.0,Chennai,,1
36.0,64343.0,28.0,Kolkata,Graduate,0
49.0,69881.0,25.0,Bangalore,Graduate,1
18.0,49899.0,28.0,Delhi,PostGraduate,0
22.0,41943.0,21.0,Kolkata,Graduate,0
62.0,34593.0,22.0,,Graduate,0
21.0,33546.0,22.0,,PostGraduate,1
33.0,62106.0,28.0,Bangalore,Graduate,0
41.0,57698.0,11.0,Kolkata,PostGraduate,0
,49001.0,5.0,Chennai,Graduate,1
19.0,,,Bangalore,School,1
66.0,52137.0,5.0,Chennai,,0
45.0,64433.0,11.0,Delhi,School,1
49.0,64290.0,20.0,Bangalore,PostGraduate,0
44.0,34012.0,,Kolkata,Graduate,0
37.0,54105.0,4.0,Chennai,School,1
41.0,24967.0,8.0,,School,1
29.0,51995.0,22.0,Chennai,School,0
67.0,59065.0,1.0,Delhi,,0
52.0,30294.0,,Delhi,Graduate,1
50.0,43753.0,10.0,Delhi,School,0
50.0,50143.0,2.0,Kolkata,Graduate,1
68.0,53509.0,23.0,Delhi,Graduate,0
60.0,45821.0,28.0,Delhi,School,0
54.0,32416.0,8.0,Bangalore,PostGraduate,1
29.0,,7.0,Mumbai,PostGraduate,1
20.0,25216.0,1.0,Bangalore,,1
18.0,46510.0,28.0,,School,1
50.0,,25.0,Kolkata,Graduate,0
57.0,47986.0,4.0,Delhi,PostGraduate,1
27.0,41610.0,15.0,Kolkata,,0
60.0,27385.0,27.0,Chennai,School,1
61.0,44505.0,8.0,Chennai,Graduate,1
46.0,63962.0,7.0,,Graduate,0
30.0,,3.0,Bangalore,,1
29.0,86590.0,13.0,Mumbai,School,1
48.0,75375.0,11.0,Mumbai,School,1
63.0,32046.0,22.0,Mumbai,PostGraduate,0
19.0,,,Bangalore,School,0
68.0,49658.0,18.0,Bangalore,PostGraduate,1
,48717.0,18.0,Chennai,Graduate,1
52.0,51043.0,18.0,Delhi,School,0
,86114.0,21.0,Bangalore,Graduate,1
,33769.0,12.0,Kolkata,PostGraduate,1
43.0,39297.0,28.0,Delhi,PostGraduate,1
